engine_name,mode,stance,bullet,total_inaccuracy
deagle,primary,stand,1,6.2
deagle,primary,stand,2,44.33737094
deagle,primary,stand,3,64.47386633
deagle,primary,stand,4,75.10591664
deagle,primary,stand,5,80.71962904
deagle,primary,stand,6,83.68366382
deagle,primary,stand,7,85.24867135
deagle,primary,crouch,1,4.18
deagle,primary,crouch,2,27.01686532
deagle,primary,crouch,3,34.23716737
deagle,primary,crouch,4,36.5200009
deagle,primary,crouch,5,37.24176141
deagle,primary,crouch,6,37.46995949
deagle,primary,crouch,7,37.54210859
revolver,primary,stand,1,80.0
revolver,primary,stand,2,99.76597515
revolver,primary,stand,3,106.8694983
revolver,primary,stand,4,109.4223722
revolver,primary,stand,5,110.3398275
revolver,primary,stand,6,110.6695438
revolver,primary,stand,7,110.7880377
revolver,primary,stand,8,110.8306222
revolver,primary,crouch,1,73.0
revolver,primary,crouch,2,87.75482687
revolver,primary,crouch,3,91.71309808
revolver,primary,crouch,4,92.77498183
revolver,primary,crouch,5,93.05985293
revolver,primary,crouch,6,93.13627519
revolver,primary,crouch,7,93.15677695
revolver,primary,crouch,8,93.16227695
elite,primary,stand,1,9.0
elite,primary,stand,2,15.5930744
elite,primary,stand,3,19.96073476
elite,primary,stand,4,22.06842743
elite,primary,stand,5,23.78622619
elite,primary,stand,6,24.32844084
elite,primary,stand,7,25.12139075
elite,primary,stand,8,25.11722572
elite,primary,stand,9,25.58738694
elite,primary,stand,10,25.39252568
elite,primary,stand,11,25.7500279
elite,primary,stand,12,25.48861026
elite,primary,stand,13,25.80679248
elite,primary,stand,14,25.52214549
elite,primary,stand,15,25.82660434
elite,primary,stand,16,25.53384988
elite,primary,stand,17,25.83351902
elite,primary,stand,18,25.53793492
elite,primary,stand,19,25.83593237
elite,primary,stand,20,25.53936067
elite,primary,stand,21,25.83677467
elite,primary,stand,22,25.53985829
elite,primary,stand,23,25.83706865
elite,primary,stand,24,25.54003196
elite,primary,stand,25,25.83717126
elite,primary,stand,26,25.54009258
elite,primary,stand,27,25.83720707
elite,primary,stand,28,25.54011373
elite,primary,stand,29,25.83721957
elite,primary,stand,30,25.54012112
elite,primary,crouch,1,7.25
elite,primary,crouch,2,13.18434564
elite,primary,crouch,3,16.76534337
elite,primary,crouch,4,18.24414281
elite,primary,crouch,5,19.45589761
elite,primary,crouch,6,19.6748488
elite,primary,crouch,7,20.21667752
elite,primary,crouch,8,20.07939458
elite,primary,crouch,9,20.43179531
elite,primary,crouch,10,20.19378377
elite,primary,crouch,11,20.49262192
elite,primary,crouch,12,20.2261284
elite,primary,crouch,13,20.50982122
elite,primary,crouch,14,20.23527416
elite,primary,crouch,15,20.51468449
elite,primary,crouch,16,20.23786021
elite,primary,crouch,17,20.51605963
elite,primary,crouch,18,20.23859144
elite,primary,crouch,19,20.51644846
elite,primary,crouch,20,20.2387982
elite,primary,crouch,21,20.51655841
elite,primary,crouch,22,20.23885666
elite,primary,crouch,23,20.5165895
elite,primary,crouch,24,20.2388732
elite,primary,crouch,25,20.51659829
elite,primary,crouch,26,20.23887787
elite,primary,crouch,27,20.51660077
elite,primary,crouch,28,20.23887919
elite,primary,crouch,29,20.51660147
elite,primary,crouch,30,20.23887957
fiveseven,primary,stand,1,11.1
fiveseven,primary,stand,2,17.72242322
fiveseven,primary,stand,3,21.8459582
fiveseven,primary,stand,4,25.50423178
fiveseven,primary,stand,5,29.07354627
fiveseven,primary,stand,6,32.63779278
fiveseven,primary,stand,7,34.42414762
fiveseven,primary,stand,8,35.31944586
fiveseven,primary,stand,9,35.76815791
fiveseven,primary,stand,10,35.99304666
fiveseven,primary,stand,11,36.10575803
fiveseven,primary,stand,12,36.16224753
fiveseven,primary,stand,13,36.19055935
fiveseven,primary,stand,14,36.20474887
fiveseven,primary,stand,15,36.21186048
fiveseven,primary,stand,16,36.21542473
fiveseven,primary,stand,17,36.21721108
fiveseven,primary,stand,18,36.21810638
fiveseven,primary,stand,19,36.21855509
fiveseven,primary,stand,20,36.21877998
fiveseven,primary,crouch,1,8.83
fiveseven,primary,crouch,2,15.45242322
fiveseven,primary,crouch,3,19.5759582
fiveseven,primary,crouch,4,23.23423178
fiveseven,primary,crouch,5,26.80354627
fiveseven,primary,crouch,6,30.36779278
