engine_name,mode,stance,base_total,fire_inacc,decay_per_cycle
deagle,primary,stand,6.2,72.23,0.527999043862311
deagle,primary,crouch,4.18,72.23,0.31616870160583593
revolver,primary,stand,80.0,50.0,0.7007856340226006
revolver,primary,crouch,73.0,50.0,0.6588948636647479
elite,primary,stand,9.0,11.16,0.5997793867970157
elite,primary,crouch,7.25,11.16,0.5408964347448365
fiveseven,primary,stand,11.1,25.0,0.4727168307566898
fiveseven,primary,crouch,8.83,25.0,0.4727168307566898
glock,primary,stand,7.6,56.0,0.33407378890509526
glock,primary,crouch,6.2,56.0,0.3340737889050953
hkp2000,primary,stand,6.9,50.0,0.32631375083152486
hkp2000,primary,crouch,5.68,50.0,0.26083334941985886
usp_silencer,primary,stand,6.4,71.0,0.2508388774792282
usp_silencer,primary,crouch,5.18,71.0,0.19438839939499583
p250,primary,stand,11.1,52.45,0.36787969259451403
p250,primary,crouch,8.83,52.45,0.3011940403607356
cz75a,primary,stand,13.43,35.0,0.44721164584706935
cz75a,primary,crouch,10.6,35.0,0.40363621066632693
tec9,primary,stand,6.9,45.0,0.4932812741359763
tec9,primary,crouch,5.68,45.0,0.4159562163067189
mag7,primary,stand,47.0,11.19,0.007474107333082246
mag7,primary,crouch,45.25,11.19,0.001054352932081336
nova,primary,stand,47.0,9.72,0.012277337921801105
nova,primary,crouch,45.25,9.72,0.002112264188524155
sawedoff,primary,stand,69.0,9.72,0.014264231288222028
sawedoff,primary,crouch,67.25,9.72,0.0026058532659942687
xm1014,primary,stand,45.0,8.83,0.20374048794674438
xm1014,primary,crouch,43.25,8.83,0.10782222233081847
bizon,primary,stand,15.0,2.88,0.573753177107934
bizon,primary,crouch,11.5,2.88,0.4594253354679567
mac10,primary,stand,13.9,4.76,0.6491915863240437
mac10,primary,crouch,10.58,4.76,0.5461630291521935
mp7,primary,stand,10.6,2.18,0.6563554495467046
mp7,primary,crouch,9.1,2.18,0.5546194357351912
mp5sd,primary,stand,10.6,2.18,0.6563554495467046
mp5sd,primary,crouch,9.1,2.18,0.5546194357351912
mp9,primary,stand,9.6,3.7,0.5352620377049921
mp9,primary,crouch,8.6,3.7,0.416862400979704
p90,primary,stand,14.65,2.85,0.6484515253113655
p90,primary,crouch,11.24,2.85,0.5452908866946163
ump45,primary,stand,14.43,3.42,0.5531615690995179
ump45,primary,crouch,11.07,3.42,0.43650859536027886
ak47,primary,stand,7.01,7.8,0.6244710980552916
ak47,primary,crouch,5.41,7.8,0.5670050093691238
aug,primary,stand,5.4,7.29,0.5851862583999761
aug,scoped,stand,3.98,7.29,0.5851862583999761
aug,primary,crouch,4.18,7.29,0.47064037958851174
aug,scoped,crouch,3.4099999999999997,7.29,0.47064037958851174
famas,primary,stand,8.19,6.05,0.634669475957914
famas,primary,crouch,6.1,6.05,0.5969719309100964
galilar,primary,stand,9.37,7.0,0.6450982285973091
galilar,primary,crouch,7.18,7.0,0.6068899363930925
m4a1,primary,stand,5.5,7.0,0.631208807683175
m4a1,primary,crouch,4.7,7.0,0.5253733166288967
m4a1_silencer,primary,stand,5.4,12.0,0.45365723286469734
m4a1_silencer,primary,crouch,4.6,12.0,0.3487873867296459
sg556,primary,stand,6.41,7.95,0.5716277044647641
sg556,scoped,stand,4.11,9.2,0.5716277044647641
sg556,primary,crouch,4.41,7.95,0.5127653518562537
sg556,scoped,crouch,3.3499999999999996,9.2,0.5127653518562537
m249,primary,stand,9.7,3.56,0.8007374815855688
m249,primary,crouch,7.34,3.56,0.7326323485619718
negev,primary,stand,12.17,30.0,0.562341325205277
negev,primary,crouch,9.63,30.0,0.5011872336302212
awp,primary,stand,2.2,53.85,0.0
awp,scoped,stand,2.2,53.85,0.0
awp,primary,crouch,1.7,53.85,0.0
awp,scoped,crouch,1.7,53.85,0.0
g3sg1,primary,stand,2.3,18.61,0.0
g3sg1,scoped,stand,2.3,18.61,0.0
g3sg1,primary,crouch,1.8,18.61,0.0
g3sg1,scoped,crouch,1.8,18.61,0.0
scar20,primary,stand,2.3,18.61,0.0
scar20,scoped,stand,2.3,18.61,0.0
scar20,primary,crouch,1.8,18.61,0.0
scar20,scoped,crouch,1.8,18.61,0.0
ssg08,primary,stand,3.23,22.92,0.0
ssg08,scoped,stand,3.23,22.92,0.0
ssg08,primary,crouch,3.03,22.92,0.0
ssg08,scoped,crouch,3.03,22.92,0.0
