engine_name,display_name,category,armor_ratio,damage,range_modifier,hs_mult,cycle_time,kill_award,move_speed,mag_size,price,pellets,spread,inacc_crouch,inacc_stand,inacc_fire,inacc_move,inacc_jump,inacc_move_alt,inacc_jump_alt,spread_alt,inacc_crouch_alt,inacc_stand_alt,inacc_fire_alt,cycle_time_alt,move_speed_alt,full_auto,armor_pen,deploy_time,reload_clip_ready,reload_fire_ready
deagle,Desert Eagle,Pistols,1.864,53.0,0.85,3.9,0.225,300.0,230.0,7.0,700.0,1.0,2.0,2.18,4.2,72.23,48.1,40.549999,,,,,,,,,0.0,0.932,1.0,0.87,2.2
revolver,R8 Revolver,Pistols,1.864,86.0,0.94,4.0,0.5,300.0,180.0,8.0,600.0,1.0,0.52,1.0,2.0,50.0,6.5,53.23,36.0,53.23,68.0,5.0,12.0,55.0,0.4,220.0,1.0,0.932,1.17,1.97,2.27
elite,Dual Berettas,Pistols,1.15,38.0,0.79,4.0,0.12,300.0,240.0,30.0,300.0,1.0,2.0,5.25,7.0,11.16,17.85,158.419998,17.85,158.419998,2.0,7.5,10.0,11.96,,240.0,0.0,0.575,1.0,2.9,3.77
fiveseven,Five-SeveN,Pistols,1.823,32.0,0.81,4.0,0.15,300.0,240.0,20.0,500.0,1.0,2.0,6.83,9.1,25.0,40.0,89.699997,,,,,,,,,0.0,0.9115,1.0,0.93,2.27
glock,Glock-18,Pistols,0.94,30.0,0.85,4.0,0.15,300.0,240.0,20.0,200.0,1.0,2.0,4.2,5.6,56.0,10.0,87.870003,12.95,87.870003,15.0,3.0,5.6,45.0,,240.0,0.0,0.47,1.1,0.93,2.27
hkp2000,P2000,Pistols,1.01,35.0,0.91,4.0,0.17,300.0,240.0,13.0,200.0,1.0,2.0,3.68,4.9,50.0,13.0,94.480003,,,,,,,,,0.0,0.505,1.0,0.97,2.27
usp_silencer,USP-S,Pistols,1.01,35.0,0.91,4.0,0.17,300.0,240.0,12.0,200.0,1.0,2.5,3.68,4.9,71.0,13.87,94.480003,13.87,94.480003,1.5,3.68,4.9,52.0,,240.0,0.0,0.505,1.0,0.97,2.17
p250,P250,Pistols,1.28,38.0,0.9,4.0,0.15,300.0,240.0,13.0,300.0,1.0,2.0,6.83,9.1,52.45,20.0,92.959999,,,,,,,,,0.0,0.64,1.0,0.93,2.27
cz75a,CZ75-Auto,Pistols,1.553,31.0,0.85,4.0,0.1,300.0,240.0,12.0,500.0,1.0,3.0,7.6,10.43,35.0,13.41,92.959999,,,,,,,,,1.0,0.7765,1.83,1.53,2.83
tec9,Tec-9,Pistols,1.812,33.0,0.79,4.0,0.12,300.0,240.0,18.0,500.0,1.0,2.0,3.68,4.9,45.0,3.81,79.779999,,,,,,,,,0.0,0.906,1.0,1.33,2.57
mag7,MAG-7,Shotguns,1.5,30.0,0.45,4.0,0.85,900.0,225.0,5.0,1300.0,8.0,40.0,5.25,7.0,11.19,15.99,50.09,,,,,,,,,0.0,0.75,1.0,1.07,2.47
nova,Nova,Shotguns,1.0,26.0,0.7,4.0,0.88,900.0,220.0,8.0,1050.0,9.0,40.0,5.25,7.0,9.72,36.75,126.309998,,,,,,,,,0.0,0.5,1.0,0.54,4.74
sawedoff,Sawed-Off,Shotguns,1.5,32.0,0.45,4.0,0.85,900.0,210.0,7.0,1100.0,8.0,62.0,5.25,7.0,9.72,16.8,57.700001,,,,,,,,,0.0,0.75,1.0,0.55,4.22
