budget,engine_name,display_name,kevlar,cost,leftover,p_win_vs_ak_mid,score_ettk_mid
200,usp_silencer,USP-S,False,200.0,0.0,0.00028000000000000003,1.8915364999999995
300,usp_silencer,USP-S,False,200.0,100.0,0.00028000000000000003,1.8915364999999995
400,usp_silencer,USP-S,False,200.0,200.0,0.00028000000000000003,1.8915364999999995
500,tec9,Tec-9,False,500.0,0.0,0.00088,1.4948015999999997
600,tec9,Tec-9,False,500.0,100.0,0.00088,1.4948015999999997
700,tec9,Tec-9,False,500.0,200.0,0.00088,1.4948015999999997
800,tec9,Tec-9,False,500.0,300.0,0.00088,1.4948015999999997
900,usp_silencer,USP-S,True,850.0,50.0,0.0012799999999999999,1.8915364999999995
1000,elite,Dual Berettas,True,950.0,50.0,0.00146,1.6633031999999996
1100,elite,Dual Berettas,True,950.0,150.0,0.00146,1.6633031999999996
1200,tec9,Tec-9,True,1150.0,50.0,0.00569,1.4948015999999997
1300,mp9,MP9,False,1250.0,50.0,0.025679999999999998,0.6655685000000001
1400,mp9,MP9,False,1250.0,150.0,0.025679999999999998,0.6655685000000001
1500,mp9,MP9,False,1250.0,250.0,0.025679999999999998,0.6655685000000001
1600,mp9,MP9,False,1250.0,350.0,0.025679999999999998,0.6655685000000001
1700,mp9,MP9,False,1250.0,450.0,0.025679999999999998,0.6655685000000001
1800,mp9,MP9,False,1250.0,550.0,0.025679999999999998,0.6655685000000001
1900,mp9,MP9,True,1900.0,0.0,0.12742,0.6655685000000001
2000,mp9,MP9,True,1900.0,100.0,0.12742,0.6655685000000001
2100,mp9,MP9,True,1900.0,200.0,0.12742,0.6655685000000001
2200,mp9,MP9,True,1900.0,300.0,0.12742,0.6655685000000001
2300,mp9,MP9,True,1900.0,400.0,0.12742,0.6655685000000001
2400,mp9,MP9,True,1900.0,500.0,0.12742,0.6655685000000001
2500,mp9,MP9,True,1900.0,600.0,0.12742,0.6655685000000001
2600,famas,FAMAS,True,2600.0,0.0,0.1567,0.650673
2700,famas,FAMAS,True,2600.0,100.0,0.1567,0.650673
2800,famas,FAMAS,True,2600.0,200.0,0.1567,0.650673
2900,famas,FAMAS,True,2600.0,300.0,0.1567,0.650673
3000,famas,FAMAS,True,2600.0,400.0,0.1567,0.650673
3100,famas,FAMAS,True,2600.0,500.0,0.1567,0.650673
3200,famas,FAMAS,True,2600.0,600.0,0.1567,0.650673
3300,famas,FAMAS,True,2600.0,700.0,0.1567,0.650673
3400,ak47,AK-47,True,3350.0,50.0,0.49973500000000004,0.4772590000000001
3500,ak47,AK-47,True,3350.0,150.0,0.49973500000000004,0.4772590000000001
3600,m4a1_silencer,M4A1-S,True,3550.0,50.0,0.507645,0.43458
3700,m4a1_silencer,M4A1-S,True,3550.0,150.0,0.507645,0.43458
3800,m4a1_silencer,M4A1-S,True,3550.0,250.0,0.507645,0.43458
3900,m4a1_silencer,M4A1-S,True,3550.0,350.0,0.507645,0.43458
4000,m4a1_silencer,M4A1-S,True,3550.0,450.0,0.507645,0.43458
4100,m4a1_silencer,M4A1-S,True,3550.0,550.0,0.507645,0.43458
4200,m4a1_silencer,M4A1-S,True,3550.0,650.0,0.507645,0.43458
4300,m4a1_silencer,M4A1-S,True,3550.0,750.0,0.507645,0.43458
4400,m4a1_silencer,M4A1-S,True,3550.0,850.0,0.507645,0.43458
4500,m4a1_silencer,M4A1-S,True,3550.0,950.0,0.507645,0.43458
4600,m4a1_silencer,M4A1-S,True,3550.0,1050.0,0.507645,0.43458
4700,m4a1_silencer,M4A1-S,True,3550.0,1150.0,0.507645,0.43458
4800,m4a1_silencer,M4A1-S,True,3550.0,1250.0,0.507645,0.43458
4900,m4a1_silencer,M4A1-S,True,3550.0,1350.0,0.507645,0.43458
5000,m4a1_silencer,M4A1-S,True,3550.0,1450.0,0.507645,0.43458
5100,m4a1_silencer,M4A1-S,True,3550.0,1550.0,0.507645,0.43458
5200,m4a1_silencer,M4A1-S,True,3550.0,1650.0,0.507645,0.43458
5300,m4a1_silencer,M4A1-S,True,3550.0,1750.0,0.507645,0.43458
5400,awp,AWP,True,5400.0,0.0,1.0,0.3
5500,awp,AWP,True,5400.0,100.0,1.0,0.3
5600,awp,AWP,True,5400.0,200.0,1.0,0.3
5700,awp,AWP,True,5400.0,300.0,1.0,0.3
5800,awp,AWP,True,5400.0,400.0,1.0,0.3
5900,awp,AWP,True,5400.0,500.0,1.0,0.3
