engine_name,display_name,distance_m,i_have_kevlar,p_win_vs_ak
ak47,AK-47,2.5,True,0.5
ak47,AK-47,2.5,False,0.0
ak47,AK-47,5.0,True,0.5
ak47,AK-47,5.0,False,0.0
ak47,AK-47,7.5,True,0.5
ak47,AK-47,7.5,False,0.0
ak47,AK-47,10.0,True,0.5
ak47,AK-47,10.0,False,0.0
ak47,AK-47,12.5,True,0.4997
ak47,AK-47,12.5,False,0.0
ak47,AK-47,15.0,True,0.4983
ak47,AK-47,15.0,False,0.0945
ak47,AK-47,20.0,True,0.5016
ak47,AK-47,20.0,False,0.1802
ak47,AK-47,25.0,True,0.49570000000000003
ak47,AK-47,25.0,False,0.2126
ak47,AK-47,30.0,True,0.4992
ak47,AK-47,30.0,False,0.2817
ak47,AK-47,40.0,True,0.5006
ak47,AK-47,40.0,False,0.31629999999999997
aug,AUG,2.5,True,0.5
aug,AUG,2.5,False,0.0
aug,AUG,5.0,True,0.5
aug,AUG,5.0,False,0.0
aug,AUG,7.5,True,0.0
aug,AUG,7.5,False,0.0
aug,AUG,10.0,True,0.0
aug,AUG,10.0,False,0.0
aug,AUG,12.5,True,0.0775
aug,AUG,12.5,False,0.0
aug,AUG,15.0,True,0.3003
aug,AUG,15.0,False,0.0452
aug,AUG,20.0,True,0.6053000000000001
aug,AUG,20.0,False,0.221
aug,AUG,25.0,True,0.6769
aug,AUG,25.0,False,0.2753
aug,AUG,30.0,True,0.7575
aug,AUG,30.0,False,0.4507
aug,AUG,40.0,True,0.8795999999999999
aug,AUG,40.0,False,0.678
awp,AWP,2.5,True,1.0
awp,AWP,2.5,False,0.0
awp,AWP,5.0,True,1.0
awp,AWP,5.0,False,0.0
awp,AWP,7.5,True,1.0
awp,AWP,7.5,False,0.0
awp,AWP,10.0,True,1.0
awp,AWP,10.0,False,0.0
awp,AWP,12.5,True,1.0
awp,AWP,12.5,False,0.0
awp,AWP,15.0,True,1.0
awp,AWP,15.0,False,0.2232
awp,AWP,20.0,True,1.0
awp,AWP,20.0,False,1.0
awp,AWP,25.0,True,1.0
awp,AWP,25.0,False,1.0
awp,AWP,30.0,True,1.0
awp,AWP,30.0,False,1.0
awp,AWP,40.0,True,1.0
awp,AWP,40.0,False,1.0
bizon,PP-Bizon,2.5,True,0.0
bizon,PP-Bizon,2.5,False,0.0
bizon,PP-Bizon,5.0,True,0.0
bizon,PP-Bizon,5.0,False,0.0
bizon,PP-Bizon,7.5,True,0.0
bizon,PP-Bizon,7.5,False,0.0
bizon,PP-Bizon,10.0,True,0.0
bizon,PP-Bizon,10.0,False,0.0
bizon,PP-Bizon,12.5,True,0.002
bizon,PP-Bizon,12.5,False,0.0
bizon,PP-Bizon,15.0,True,0.021500000000000002
bizon,PP-Bizon,15.0,False,0.0012
bizon,PP-Bizon,20.0,True,0.0097
bizon,PP-Bizon,20.0,False,0.0023
bizon,PP-Bizon,25.0,True,0.0046
bizon,PP-Bizon,25.0,False,0.0014
bizon,PP-Bizon,30.0,True,0.0086
bizon,PP-Bizon,30.0,False,0.0016
bizon,PP-Bizon,40.0,True,0.0166
bizon,PP-Bizon,40.0,False,0.0028
cz75a,CZ75-Auto,2.5,True,0.0
cz75a,CZ75-Auto,2.5,False,0.0
cz75a,CZ75-Auto,5.0,True,0.0
cz75a,CZ75-Auto,5.0,False,0.0
cz75a,CZ75-Auto,7.5,True,0.0
cz75a,CZ75-Auto,7.5,False,0.0
cz75a,CZ75-Auto,10.0,True,0.0
cz75a,CZ75-Auto,10.0,False,0.0
cz75a,CZ75-Auto,12.5,True,0.0002
cz75a,CZ75-Auto,12.5,False,0.0
cz75a,CZ75-Auto,15.0,True,0.0014
cz75a,CZ75-Auto,15.0,False,0.0
