engine_name,mode,display_name,category,price,kill_award,distance_m,vs_armored,hits_needed,expected_ttk,median_ttk,perfect_ttk,p_kill_1s,p_kill_2s,p_kill,first_hit_p,cadence_mult,interval_ms
deagle,primary,Desert Eagle,Pistols,700.0,300.0,2.5,True,3,0.45000000000000007,0.45,0.45,1.0,1.0,1.0,1.0,1.0,225
deagle,primary,Desert Eagle,Pistols,700.0,300.0,5.0,True,3,0.9000000000000001,0.9,0.45,1.0,1.0,1.0,1.0,2.0,450
deagle,primary,Desert Eagle,Pistols,700.0,300.0,7.5,True,3,1.3499999999999999,1.35,0.45,0.0,1.0,1.0,1.0,3.0,675
deagle,primary,Desert Eagle,Pistols,700.0,300.0,10.0,True,3,1.363905,1.35,0.45,0.0,0.9806,1.0,1.0,3.0,675
deagle,primary,Desert Eagle,Pistols,700.0,300.0,12.5,True,3,1.8000000000000003,1.8,0.45,0.0,1.0,1.0,1.0,4.0,900
deagle,primary,Desert Eagle,Pistols,700.0,300.0,15.0,True,3,1.8138600000000005,1.8,0.45,0.0,0.9848,1.0,1.0,4.0,900
deagle,primary,Desert Eagle,Pistols,700.0,300.0,20.0,True,3,2.5795800000000004,1.8,0.45,0.0,0.5098,1.0,1.0,4.0,900
deagle,primary,Desert Eagle,Pistols,700.0,300.0,25.0,True,3,2.7863999999999995,2.7,0.45,0.0,0.0,1.0,1.0,6.0,1350
deagle,primary,Desert Eagle,Pistols,700.0,300.0,30.0,True,3,3.2629900000000003,2.7,0.45,0.0,0.0,1.0,0.9894,6.0,1350
deagle,primary,Desert Eagle,Pistols,700.0,300.0,40.0,True,4,8.10472,6.75,0.675,0.0,0.0,0.8422,0.8064,6.0,1350
deagle,primary,Desert Eagle,Pistols,700.0,300.0,2.5,False,2,0.22500000000000003,0.225,0.225,1.0,1.0,1.0,1.0,1.0,225
deagle,primary,Desert Eagle,Pistols,700.0,300.0,5.0,False,3,0.9000000000000001,0.9,0.45,1.0,1.0,1.0,1.0,2.0,450
deagle,primary,Desert Eagle,Pistols,700.0,300.0,7.5,False,3,1.3499999999999999,1.35,0.45,0.0,1.0,1.0,1.0,3.0,675
deagle,primary,Desert Eagle,Pistols,700.0,300.0,10.0,False,3,1.3624199999999997,1.35,0.45,0.0,0.9818,1.0,1.0,3.0,675
deagle,primary,Desert Eagle,Pistols,700.0,300.0,12.5,False,3,1.8000000000000003,1.8,0.45,0.0,1.0,1.0,1.0,4.0,900
deagle,primary,Desert Eagle,Pistols,700.0,300.0,15.0,False,3,1.8154800000000002,1.8,0.45,0.0,0.9834,1.0,1.0,4.0,900
deagle,primary,Desert Eagle,Pistols,700.0,300.0,20.0,False,3,2.5585200000000006,1.8,0.45,0.0,0.5262,1.0,1.0,4.0,900
deagle,primary,Desert Eagle,Pistols,700.0,300.0,25.0,False,3,2.7766799999999994,2.7,0.45,0.0,0.0,1.0,1.0,6.0,1350
deagle,primary,Desert Eagle,Pistols,700.0,300.0,30.0,False,3,3.24986,2.7,0.45,0.0,0.0,1.0,0.9914,6.0,1350
deagle,primary,Desert Eagle,Pistols,700.0,300.0,40.0,False,4,8.11076,8.100000000000001,0.675,0.0,0.0,0.8376,0.8102,6.0,1350
revolver,primary,R8 Revolver,Pistols,600.0,300.0,2.5,True,2,1.625104,1.0,0.5,0.5574,0.7908,0.9998,0.7416,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,5.0,True,2,8.421576,9.27,0.5,0.047,0.1096,0.5486,0.1854,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,7.5,True,2,10.921294,12.0,0.5,0.0118,0.028,0.1804,0.0816,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,10.0,True,2,11.605877999999999,12.0,0.5,0.003,0.0088,0.0708,0.0416,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,12.5,True,2,11.840263999999998,12.0,0.5,0.0008,0.0028,0.0302,0.0276,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,15.0,True,2,11.909572,12.0,0.5,0.0004,0.0014,0.0174,0.021,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,20.0,True,2,11.971926,12.0,0.5,0.0004,0.0008,0.005,0.0126,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,25.0,True,2,11.992132000000002,12.0,0.5,0.0002,0.0002,0.0018,0.0072,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,30.0,True,2,11.995970000000002,12.0,0.5,0.0,0.0,0.001,0.0068,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,40.0,True,2,11.9958,12.0,0.5,0.0002,0.0002,0.0004,0.0038,1.5,750
revolver,primary,R8 Revolver,Pistols,600.0,300.0,2.5,False,2,1.5832579999999998,1.0,0.5,0.5602,0.8088,0.9988,0.7334,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,5.0,False,2,8.450132,9.27,0.5,0.0518,0.112,0.5428,0.1766,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,7.5,False,2,11.022234000000001,12.0,0.5,0.008,0.0236,0.1734,0.075,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,10.0,False,2,11.608016000000001,12.0,0.5,0.0038,0.0078,0.0708,0.0442,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,12.5,False,2,11.82171,12.0,0.5,0.0016,0.004,0.032,0.0282,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,15.0,False,2,11.90211,12.0,0.5,0.001,0.0022,0.0176,0.0226,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,20.0,False,2,11.969788000000001,12.0,0.5,0.0002,0.0008,0.0058,0.0122,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,25.0,False,2,11.983802,12.0,0.5,0.0,0.0,0.0032,0.0064,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,30.0,False,2,11.994062,12.0,0.5,0.0,0.0,0.001,0.0052,1.0,500
revolver,primary,R8 Revolver,Pistols,600.0,300.0,40.0,False,2,11.9988,12.0,0.5,0.0,0.0,0.0002,0.0034,3.0,1500
elite,primary,Dual Berettas,Pistols,300.0,300.0,2.5,True,5,0.48,0.48,0.48,1.0,1.0,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,5.0,True,6,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,7.5,True,6,0.6044159999999998,0.6,0.6,1.0,1.0,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,10.0,True,6,0.8703599999999998,0.84,0.6,0.7736,0.9954,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,12.5,True,6,1.1651759999999998,1.08,0.6,0.3094,0.9908,1.0,1.0,1.5,180
elite,primary,Dual Berettas,Pistols,300.0,300.0,15.0,True,7,1.8568799999999999,1.68,0.72,0.0,0.7404,1.0,1.0,2.0,240
elite,primary,Dual Berettas,Pistols,300.0,300.0,20.0,True,7,2.986776,2.88,0.72,0.0,0.0,1.0,0.9936,3.0,360
elite,primary,Dual Berettas,Pistols,300.0,300.0,25.0,True,8,5.5501439999999995,5.279999999999999,0.84,0.0,0.0,0.9998,0.8534,4.0,480
elite,primary,Dual Berettas,Pistols,300.0,300.0,30.0,True,8,8.162688000000001,8.16,0.84,0.0,0.0,0.9342,0.6438,4.0,480
elite,primary,Dual Berettas,Pistols,300.0,300.0,40.0,True,10,11.887968,12.0,1.08,0.0,0.0,0.0834,0.3714,4.0,480
elite,primary,Dual Berettas,Pistols,300.0,300.0,2.5,False,3,0.24,0.24,0.24,1.0,1.0,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,5.0,False,3,0.24,0.24,0.24,1.0,1.0,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,7.5,False,4,0.35999999999999993,0.36,0.36,1.0,1.0,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,10.0,False,4,0.43807199999999996,0.36,0.36,0.9926,1.0,1.0,1.0,1.0,120
elite,primary,Dual Berettas,Pistols,300.0,300.0,12.5,False,4,0.641232,0.54,0.36,0.95,0.9992,1.0,1.0,1.5,180
elite,primary,Dual Berettas,Pistols,300.0,300.0,15.0,False,4,0.8726879999999999,0.72,0.36,0.8492,0.9984,1.0,1.0,2.0,240
elite,primary,Dual Berettas,Pistols,300.0,300.0,20.0,False,4,1.4608079999999999,1.44,0.36,0.0,0.8816,1.0,0.9958,3.0,360
elite,primary,Dual Berettas,Pistols,300.0,300.0,25.0,False,5,3.199248,2.88,0.48,0.0,0.1378,1.0,0.851,3.0,360
elite,primary,Dual Berettas,Pistols,300.0,300.0,30.0,False,5,4.83168,4.32,0.48,0.0,0.0232,0.9982,0.6576,4.0,480
elite,primary,Dual Berettas,Pistols,300.0,300.0,40.0,False,6,9.882456,10.44,0.6,0.0,0.0,0.5018,0.3836,3.0,360
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,2.5,True,4,0.45000000000000007,0.44999999999999996,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,150
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,5.0,True,4,0.45000000000000007,0.44999999999999996,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,150
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,7.5,True,4,0.46788000000000013,0.44999999999999996,0.44999999999999996,0.9952,1.0,1.0,1.0,1.0,150
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,10.0,True,5,1.2141,1.2,0.6,0.0,1.0,1.0,1.0,2.0,300
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,12.5,True,5,1.6395,1.5,0.6,0.0,0.7956,1.0,1.0,2.0,300
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,15.0,True,5,2.07864,1.7999999999999998,0.6,0.0,0.5666,1.0,1.0,3.0,450
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,20.0,True,5,3.7146,3.5999999999999996,0.6,0.0,0.0,1.0,0.8296,4.0,600
