engine_name,distance_m,mode,display_name,category,price,hits_needed,expected_ttk,p_kill_1s,first_hit_p,cadence_mult
ak47,5.0,primary,AK-47,Automatic Rifles,2700.0,1,0.0,1.0,1.0,1.0
ak47,10.0,primary,AK-47,Automatic Rifles,2700.0,1,0.0,1.0,1.0,1.0
ak47,15.0,primary,AK-47,Automatic Rifles,2700.0,1,0.003930000000000001,0.999,0.9916,1.5
ak47,20.0,primary,AK-47,Automatic Rifles,2700.0,1,0.34944000000000003,0.8898,0.6044,3.0
ak47,25.0,primary,AK-47,Automatic Rifles,2700.0,1,0.8723460000000001,0.7024,0.3978,3.0
aug,5.0,primary,AUG,Automatic Rifles,3300.0,1,0.0,1.0,1.0,1.0
aug,10.0,primary,AUG,Automatic Rifles,3300.0,2,0.09999999999999999,1.0,1.0,1.0
aug,15.0,primary,AUG,Automatic Rifles,3300.0,2,0.26016000000000006,0.9944,1.0,2.0
aug,20.0,primary,AUG,Automatic Rifles,3300.0,2,0.5274000000000001,0.9168,0.9718,3.0
aug,25.0,scoped,AUG,Automatic Rifles,3300.0,2,0.81488,0.7888,1.0,4.0
awp,5.0,scoped,AWP,Sniper Rifles,4750.0,1,0.3,1.0,1.0,1.0
awp,10.0,scoped,AWP,Sniper Rifles,4750.0,1,0.3,1.0,1.0,1.0
awp,15.0,scoped,AWP,Sniper Rifles,4750.0,1,0.3,1.0,1.0,1.0
awp,20.0,scoped,AWP,Sniper Rifles,4750.0,1,0.3,1.0,1.0,1.0
awp,25.0,scoped,AWP,Sniper Rifles,4750.0,1,0.3,1.0,1.0,1.0
bizon,5.0,primary,PP-Bizon,SMGs,1300.0,2,0.08,1.0,1.0,1.0
bizon,10.0,primary,PP-Bizon,SMGs,1300.0,2,0.33964800000000006,0.9662,0.522,1.0
bizon,15.0,primary,PP-Bizon,SMGs,1300.0,2,0.972952,0.6116,0.2244,1.0
bizon,20.0,primary,PP-Bizon,SMGs,1300.0,3,3.103872,0.0924,0.1222,1.0
bizon,25.0,primary,PP-Bizon,SMGs,1300.0,3,5.226524,0.035,0.0828,1.0
cz75a,5.0,primary,CZ75-Auto,Pistols,500.0,2,0.1752,0.9996,1.0,1.5
cz75a,10.0,primary,CZ75-Auto,Pistols,500.0,2,0.65656,0.8484,0.8484,4.0
cz75a,15.0,primary,CZ75-Auto,Pistols,500.0,2,2.16669,0.2852,0.4154,4.0
cz75a,20.0,primary,CZ75-Auto,Pistols,500.0,2,4.687766000000001,0.101,0.2316,4.0
cz75a,25.0,primary,CZ75-Auto,Pistols,500.0,2,7.169273999999999,0.0464,0.1528,4.0
deagle,5.0,primary,Desert Eagle,Pistols,700.0,1,0.0,1.0,1.0,1.0
deagle,10.0,primary,Desert Eagle,Pistols,700.0,1,0.0,1.0,1.0,1.0
