engine_name,display_name,category,price,kill_award,profile,score_ettk,p_win_vs_ak
ak47,AK-47,Automatic Rifles,2700.0,300.0,CQC,0.3,0.5
ak47,AK-47,Automatic Rifles,2700.0,300.0,MID,0.4772590000000001,0.49973500000000004
ak47,AK-47,Automatic Rifles,2700.0,300.0,LONG,2.0221587000000003,0.49907999999999997
aug,AUG,Automatic Rifles,3300.0,300.0,CQC,0.33999999999999997,0.30000000000000004
aug,AUG,Automatic Rifles,3300.0,300.0,MID,0.516463,0.23052500000000004
aug,AUG,Automatic Rifles,3300.0,300.0,LONG,1.303971,0.7059749999999999
awp,AWP,Sniper Rifles,4750.0,100.0,CQC,0.3,1.0
awp,AWP,Sniper Rifles,4750.0,100.0,MID,0.3,1.0
awp,AWP,Sniper Rifles,4750.0,100.0,LONG,0.3,1.0
bizon,PP-Bizon,SMGs,1300.0,600.0,CQC,0.49663920000000006,0.0
bizon,PP-Bizon,SMGs,1300.0,600.0,MID,1.4151791999999999,0.00889
bizon,PP-Bizon,SMGs,1300.0,600.0,LONG,7.057183,0.00893
cz75a,CZ75-Auto,Pistols,500.0,300.0,CQC,0.5625055,0.0
cz75a,CZ75-Auto,Pistols,500.0,300.0,MID,2.3088464,0.00055
cz75a,CZ75-Auto,Pistols,500.0,300.0,LONG,8.803888100000002,0.00332
deagle,Desert Eagle,Pistols,700.0,300.0,CQC,0.9920857500000001,0.0
deagle,Desert Eagle,Pistols,700.0,300.0,MID,1.8510502500000006,0.00358
deagle,Desert Eagle,Pistols,700.0,300.0,LONG,3.6412495,0.10154
elite,Dual Berettas,Pistols,300.0,300.0,CQC,0.6176579999999999,0.0
elite,Dual Berettas,Pistols,300.0,300.0,MID,1.6633031999999996,0.00146
elite,Dual Berettas,Pistols,300.0,300.0,LONG,6.3849432,0.004705
famas,FAMAS,Automatic Rifles,1950.0,300.0,CQC,0.35999999999999993,0.0
famas,FAMAS,Automatic Rifles,1950.0,300.0,MID,0.650673,0.1567
famas,FAMAS,Automatic Rifles,1950.0,300.0,LONG,3.7411317000000004,0.1167
fiveseven,Five-SeveN,Pistols,500.0,300.0,CQC,0.5690850000000001,0.0
fiveseven,Five-SeveN,Pistols,500.0,300.0,MID,2.079912,0.00057
fiveseven,Five-SeveN,Pistols,500.0,300.0,LONG,7.6623779999999995,0.0033699999999999997
g3sg1,G3SG1,Sniper Rifles,5000.0,300.0,CQC,0.5499999999999999,0.0
g3sg1,G3SG1,Sniper Rifles,5000.0,300.0,MID,0.5499999999999999,0.26384
g3sg1,G3SG1,Sniper Rifles,5000.0,300.0,LONG,0.5499999999999999,1.0
galilar,Galil AR,Automatic Rifles,1800.0,300.0,CQC,0.3608234999999999,0.0
